10656
ATR-X syndrome	C538258
Osteoarthritis, Spine	D055013
Carcinoma, Small Cell	D018288
Infarcts in substantia nigra pars reticulata	D002544
Alien Hand Syndrome	D055964
human immunodeficiency virus (HIV)-infected	D015658
Hypopigmentation	D017496
Ciliary Dyskinesia, Primary, 5	C563886
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ix	615597
Ichthyosis, X-Linked	D016114
VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 5, WITH OR WITHOUT MUSCLE WEAKNESS	615441
glomerular disease	D007674
TOOTH AGENESIS, SELECTIVE, 8	617073
neurologic complications	D009422
Fucosidosis	D005645
Cholangitis, Sclerosing	D015209
Cardiomyopathy, Dilated, 1p	C563690
drug-induced liver damage	D056486
Leukemia, Hairy Cell	D007943
DEAFNESS, AUTOSOMAL DOMINANT 22;DFNA22 DEAFNESS, AUTOSOMAL DOMINANT 22, WITH HYPERTROPHIC CARDIOMYOPATHY,	606346
blindness	D001766
Hereditary Angioedema Type III	D056828
HIV-1 infection	D015658
Precancerous Conditions	D011230
hemorrhagic strokes	D020521
abdominal pain	D015746
Eye Diseases, Hereditary	D015785
allodynia	D006930
Familial paroxysmal dystonia	C537180
acute hepatic necrosis	D017114
Femoral Fractures	D005264
depressive disorders	D003866
Hair Diseases	D006201
AMYOTROPHIC LATERAL SCLEROSIS 19	615515
Hemangioma, Capillary	D018324
IMMUNODEFICIENCY 27B	615978
CONE-ROD DYSTROPHY 16	614500
Megacystis microcolon intestinal hypoperistalsis syndrome	C536138
burns	D002056
Tachycardia, Reciprocating	D054139
Ovalocytosis, Malaysian-Melanesian-Filipino Type	C566230
EPILEPSY, FAMILIAL TEMPORAL LOBE, 8	616461
Hearing Loss, Mixed Conductive-Sensorineural	D046089
Ghosal Hematodiaphyseal Dysplasia	C565551
MITOCHONDRIAL SHORT-CHAIN ENOYL-CoA HYDRATASE 1 DEFICIENCY	616277
Trichinellosis	D014235
Carcinoma, Papillary	D002291
hepatic impairment	D008107
Thyroid Dyshormonogenesis 1	C564766
Carcinoma, Squamous Cell	D002294
Milk-alkali syndrome	D006934
fibrous myopathy	D009135
Atypical sensations	D010292
Haemorrhagic myocarditis	D006470
hepatic tumors	D008113
glioma	D005910
Bruton type agammaglobulinemia	C537409
Sea-Blue Histiocyte Syndrome	D012618
Carcinoma, Large Cell	D018287
Tauopathies	D024801
Cherubism	D002636
ECTODERMAL DYSPLASIA 11A, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL DOMINANT	614940
impairment of learning and memory	D007859
Schwannomatosis	C536641
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 42	617106
Postoperative delirium	D011183
DBP reduction	D007022
behavioral disorders	D001523
Ectrodactyly-cleft lip-palate syndrome	C536189
Dry Eye Syndromes	D015352
Lymphoma, T-Cell	D016399
Hypogammaglobulinemia and Isolated growth hormone deficiency, X-linked	C537149
Epithelial Recurrent Erosion Dystrophy	C565155
CILIARY DYSKINESIA, PRIMARY, 15	613808
hepatic or hematologic toxicity	D006402
Lung Diseases, Parasitic	D008174
Newfoundland Rod-Cone Dystrophy	C564391
Spondyloepiphyseal dysplasia, congenita	C535788
Ichthyosis Bullosa of Siemens	D053560
attention problems	D003072
depressive	D003866
adenovirus disease	D000257
Onycholysis	D054039
Hypothalamic Diseases	D007027
Hypersensitivity, Delayed	D006968
Desbuquois syndrome	C535943
renal interstitial damage	D007674
renal tissue damage	D007674
alpha-Fetoprotein Deficiency	C566300
ARTHROGRYPOSIS, PERTHES DISEASE, AND UPWARD GAZE PALSY	614262
Gliosarcoma	D018316
Ectodermal dysplasia, hypohidrotic, with immune deficiency	C536181
malignant glioma	D005910
PEROXISOME BIOGENESIS DISORDER 11A (ZELLWEGER)	614883
NEUTROPENIA, SEVERE CONGENITAL, 7, AUTOSOMAL RECESSIVE	617014
hypoxic-ischemic encephalopathy	D020925
low back pain	D017116
AORTIC ANEURYSM, FAMILIAL THORACIC 7	613780
Esophageal Achalasia	D004931
DVT	D020246
Spastic Paraplegia Type 8	C580458
Exanthema	D005076
left ventricular apical ballooning syndrome	D054549
visceral pain	D059265
hepatic and renal toxicity	D007674
Van Maldergem Wetzburger Verloes syndrome	C536530
hypoplastic lungs	-1
Cytosolic acetoacetyl-CoA thiolase deficiency	C536005
Dicarboxylicaminoaciduria	C536171
Aicardi-Goutieres Syndrome 3	C563683
Human Herpesvirus 6 encephalitis	C538117
AD	D000544
Anauxetic dysplasia	C538256
Hepatic veno-occlusive disease	D006504
Leigh syndrome , French Canadian type	C537004
Alpha-Methylacyl-CoA Racemase Deficiency	C565768
HEM	D006470
CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IB	614437
rotational behavior	D009069
B-CELL EXPANSION WITH NFKB AND T-CELL ANERGY	616452
Evans Syndrome	C536380
cardiac tamponade	D002305
Leukopenia	D007970
Upper Extremity Deformities, Congenital	D038062
Corneal Dystrophy, Posterior Polymorphous, 2	C565176
Nose Deformities, Acquired	D009667
somnolence	D006970
Dental Caries	D003731
Hearing Loss, Unilateral	D046088
Mucopolysaccharidosis II	D016532
Urethral Diseases	D014522
SPERMATOGENIC FAILURE 8	613957
Radiculopathy	D011843
Factor XIII Deficiency	D005177
Thymoma	D013945
Sphincter of Oddi Dysfunction	D046628
Hyperekplexia and Epilepsy	C564474
hemorrhages	D006470
Biliary Tract Diseases	D001660
MENTAL RETARDATION, X-LINKED, SYNDROMIC 33	300966
myxedema coma	D009230
Langer mesomelic dysplasia	C537267
Ataxia, Spastic, 3, Autosomal Recessive	C566956
VERTICAL TALUS, CONGENITAL	192950
choreoathetosis	D002819
Biotinidase Deficiency	D028921
Angiosarcoma of the liver	D006394
Pulmonary Atresia	D018633
Nausea	D009325
Myofibrillar Myopathy	C580316
NEPHROTIC SYNDROME, TYPE 6	614196
Serum Sickness	D012713
Purpura, Thrombocytopenic	D011696
memory deficiency	D008569
Native American myopathy	C538343
Slowed Nerve Conduction Velocity, Autosomal Dominant	C564269
IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1	242860
Retinal Cone Dystrophy 3B	C563678
EPILEPSY, FAMILIAL TEMPORAL LOBE, 5	614417
Drug abuse	D019966
Auditory Neuropathy, Autosomal Dominant, 1	C563790
Meningitis, Viral	D008587
Hyperalgesia	D006930
SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE	614066
Growth mental deficiency syndrome of Myhre	C537620
Hepatocellular carcinoma	D006528
Lacrimoauriculodentodigital syndrome	C538132
transient neurologic symptoms	D009422
Mental Retardation, Autosomal Recessive 1	C565406
Mantle cell lymphoma	D020522
Taste Disorders	D013651
POAG	C562750
BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1	604370
Vestibulocochlear Nerve Diseases	D000160
Bacillaceae Infections	D016863
intraoperative and postoperative bleeding	D019106
myoclonus	D009207
acute encephalopathy	D020803
Corneal Dystrophy, Posterior Polymorphous, 1	C562745
Adrenocortical Carcinoma	D018268
MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 21	617232
Pupil Disorders	D011681
MICROCEPHALY 8, PRIMARY, AUTOSOMAL RECESSIVE	614673
Carcinoma, Pancreatic Ductal	D021441
MICROPHTHALMIA, SYNDROMIC 13	300915
Leishmaniasis	D007896
ventricular ectopy	D018879
Collagen Diseases	D003095
Brown-Sequard Syndrome	D018437
CEREBRAL ARTERIOPATHY, AUTOSOMAL RECESSIVE, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY	600142
Polyradiculopathy	D011128
Diabetes Mellitus, Insulin-Dependent, 20	C567286
Jaundice	D007565
Cardiomyopathy, Dilated, 1z	C567506
Myosclerosis, Autosomal Recessive	C564968
Opitz GBBB Syndrome, X-Linked	C567932
VITAMIN K-DEPENDENT CLOTTING FACTORS, COMBINED DEFICIENCY OF, 2	607473
Norman Roberts lissencephaly syndrome	C537848
Convulsive	D012640
Achromatopsia 3	C536129
respiratory arrest	D012131
Familial dilated cardiomyopathy	C536231
MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT), TYPE B, 5	606612
Short Stature, Idiopathic, Autosomal	C565805
Sleep Apnea Syndromes	D012891
CANDIDIASIS, FAMILIAL, 6	613956
Inflammatory Bowel Disease 14	C567383
Lamellar ichthyosis, type 3	C537265
myocardial hypertrophy	D006332
Stiff Skin Syndrome	C566112
Wilms Tumor	D009396
ascites	D001201
CIP	D010259
abnormalities in the cortex, hippocampus, white matter, and ventricles	D001930
akathisia	D017109
Vacuolar myopathy	C536522
Glycosuria	D006029
Heterotopia, Periventricular, Autosomal Recessive	C564292
VT	D017180
RETINITIS PIGMENTOSA 66	615233
axonal damage	D001480
Lissencephaly	D054082
ALPHA-AMINOADIPIC AND ALPHA-KETOADIPIC ACIDURIA	204750
Hydrocephalus	D006849
Vitreous Hemorrhage	D014823
Cleft palate X-linked	C536426
Polycystic liver disease	C536330
Teratoma	D013724
Osteoarthropathy, Secondary Hypertrophic	D010005
Akathisia, Drug-Induced	D017109
hemorrhaging	D006470
haemorrhagic infarction of the globus pallidus	D020520
Familial HDL deficiency	C538394
Cerebral Ventriculitis	D058565
Hydrothorax	D006876
PONTOCEREBELLAR HYPOPLASIA, TYPE 2D	613811
hepatitis B infection	D006509
Ischiopatellar dysplasia	C535540
DEAFNESS, AUTOSOMAL DOMINANT 66	616969
itchiness	D011537
Fanconi Anemia, Complementation Group B	C564497
Dyssegmental dysplasia	C537998
Spastic Paraplegia, Optic Atrophy, and Neuropathy	C563702
Hypotrichosis simplex	C537160
LEUKODYSTROPHY AND ACQUIRED MICROCEPHALY WITH OR WITHOUT DYSTONIA	616763
Hereditary Diffuse Leukoencephalopathy with Spheroids	C580150
Pregnancy, Prolonged	D011273
hypoxemia	D000860
adenovirus pneumonia	D011024
Short Bowel Syndrome	D012778
Holoprosencephaly 5	C566464
Lipase deficiency combined	C535904
Aortic Stenosis, Subvalvular	D001020
Invasive Pneumococcal Disease, Recurrent Isolated, 2	C564468
Coronary Artery Disease	D003324
Arthrogryposis multiplex congenita, distal, X-linked	C535380
Muscular Atrophy	D009133
CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 4	615412
opioid addicts	D009293
Carcinoma, Ductal, Breast	D018270
Neuritis, Autoimmune, Experimental	D009444
band keratopathy	C562399
CVDs	D002318
SPASTIC ATAXIA 5, AUTOSOMAL RECESSIVE	614487
leukemia	D007938
Cytomegalovirus Infections	D003586
LYMPHATIC MALFORMATION 4	615907
ARTHROGRYPOSIS, DISTAL, WITH IMPAIRED PROPRIOCEPTION AND TOUCH	617146
Ureteral Neoplasms	D014516
hypokalemia	D007008
Hepatic Adenomas, Familial	C564190
cardiac remodelling	D020257
Arachnoiditis	D001100
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 47	617166
Pentosuria	C536652
Renal papillary necrosis	D007681
